PEL,1632.9,1728,1632.9,1630.1,1711.9,81.8,5.02,1364359,2317172751,2007.7,802.3,86.44,-10.08
MOTHERSUMI,200.7,212.7,200.7,200.7,210.6,9.9,4.93,19359300,4027508772,238.2,62.15,235.08,-0.94
GAIL,134,139.9,133.9,132.75,138.6,5.85,4.41,19451005,2672762597,157.95,78.7,61.42,-5.41
MRF,79500,83100,79300,79227.85,82650,3422.15,4.32,30804,2503996784,98599.95,55300,44.03,-6.88
DLF,248.6,258.5,246.1,246.6,255.2,8.6,3.49,16183485,4104293631,332.7,125,82.97,-17.12
MARICO,407,424,407,407.4,421.3,13.9,3.41,2833579,1188544712,433.95,277.1,44.75,6.96
HAVELLS,993.5,1029,980.65,993.7,1027.5,33.8,3.4,1403988,1417031049,1231.9,447.05,90.87,-7.19
PNB,34,35.3,33.65,33.95,35.05,1.1,3.24,147766538,5094990230,46.35,26.3,11.96,-14.49
ICICIPRULI,444,460.65,442.05,443.7,458,14.3,3.22,1962407,892581199.9,537.9,317,33.99,-0.63
PGHH,13153.75,13649.25,13075,13179.7,13582,402.3,3.05,9205,122436533.5,13800,9691.4,21.5,4.59
NMDC,135.2,139,133.15,134.25,138,3.75,2.79,8403211,1144265242,146.2,69.85,66.95,3.21
ADANIENT,1077,1116.3,1051.05,1074.4,1102,27.6,2.57,12137329,13251535802,1251.6,127.3,657.77,23.74
HINDPETRO,225.6,232.65,225.6,226.4,231.7,5.3,2.34,7350007,1694764614,259.25,162.9,12.7,-4.06
SIEMENS,1731,1787.2,1721,1729.75,1768.5,38.75,2.24,217526,383696286.7,1967.75,990,49.57,-7.78
VEDL,213.3,219.5,212.1,213.2,217.9,4.7,2.2,9623854,2081639620,244.9,73.35,178.99,-1.33
MCDOWELL-N,520.05,526,515,515.65,525.3,9.65,1.87,1136807,592014981.4,661.65,478.5,-8.28,-3.6
ADANIGREEN,1085.4,1138,1035.15,1085.65,1105,19.35,1.78,888788,962841816.2,1340,167.05,508.7,-3.84
UBL,1084.15,1110.65,1082,1084.15,1101.7,17.55,1.62,378097,415694965.7,1329.65,859.2,15.91,-9.31
PETRONET,222.15,226,220.2,221.75,225.2,3.45,1.56,3842269,858900812.3,280.75,203.85,2.95,-7.06
BOSCHLTD,13625,14039.45,13447.1,13681.95,13879.75,197.8,1.45,58287,799990240.7,16830.05,9030,38.53,-6.75
GODREJCP,722.2,733.5,712.95,715.4,725.6,10.2,1.43,913053,660940805.6,808.35,484.05,29.9,5.41
IGL,514.8,524.25,511.75,516.65,524,7.35,1.42,1287643,668518492.7,594.85,364.1,13.53,2.6
YESBANK,14.4,14.75,14.3,14.45,14.65,0.2,1.38,79542179,1160520392,32,11.1,-39,-7.55
BAJAJHLDNG,3264.05,3415.95,3250.1,3279.95,3324.45,44.5,1.36,25103,83751138.9,3757.15,1845,57.43,-7.95
JUBLFOOD,2715.1,2772.8,2660.7,2729.4,2765,35.6,1.3,629660,1715779424,3215.5,1315.05,99.99,-7.04
HDFCAMC,2842,2890,2827,2844.7,2881,36.3,1.28,190538,544650967.6,3358.9,2070.05,12.86,-6.21
ICICIGI,1365.6,1387.9,1345.85,1351.05,1367.55,16.5,1.22,748685,1016699256,1626.45,1101,18.95,-7.29
MUTHOOTFIN,1185,1209,1169.15,1159.95,1172.65,12.7,1.09,1146320,1356646794,1405.75,658.45,57.29,-8.21
INDUSTOWER,241,247.35,241,242.9,245.2,2.3,0.95,1855496,453817211.7,282.65,149.5,0,-3.01
BANDHANBNK,334.8,341,318.6,327.55,330.65,3.1,0.95,12109901,4014916578,430.7,173.5,71.97,-4.95
DABUR,555.2,565.7,554.3,554.75,559.45,4.7,0.85,3181848,1786098556,566.35,421.2,16.77,7.03
TORNTPHARM,2583,2607.05,2544.05,2555.8,2576.4,20.6,0.81,309988,794297751.8,3031.2,2225,8.06,4.28
BIOCON,406.7,412.35,401.35,404.3,407.5,3.2,0.79,2068043,842231192.2,487.75,320.7,19.5,1.69
SBICARD,897.8,916.9,883,890.45,897.1,6.65,0.75,1682969,1508428285,1139,495,77.65,-11.54
DMART,2832.95,2885,2812,2814.9,2830,15.1,0.54,267793,763619773.3,3330,1954.85,0,-9.48
INDIGO,1594,1639.6,1593.8,1593.8,1600,6.2,0.39,1096901,1766032548,1823.85,850,50.29,-3.5
ALKEM,2746.3,2840,2736.15,2745.55,2750.05,4.5,0.16,190416,528739532.2,3151.5,2222,2.15,-0.78
BERGEPAINT,724.6,738.9,721,728.2,727.5,-0.7,-0.1,555908,405079041.4,822.95,431.45,47.13,1.11
ACC,1895,1904.95,1858,1885.7,1881.6,-4.1,-0.22,531684,1001543784,2022.85,1001.45,76.36,5.29
ABBOTINDIA,15050,15148.9,14920.8,15049.7,14999,-50.7,-0.34,6242,93572136.66,18679.75,13959.8,-13.19,2.35
LUPIN,1050,1058.7,1022.1,1045.15,1041,-4.15,-0.4,1528367,1587973313,1122.3,787.05,25.42,-1.29
